epoch       	ep_ret      	ep_tx       	newbytes    	ep_delay   	ep_delay_normal   	ep_throu   
0	38.88086569456579	948725820.2118618	475168816.3123621	0.0	0	904775.4480475065
1	38.41031247698558	942875311.2794585	597686326.8747876	0.0	0	899195.9679407674
2	37.65895594677399	927143306.5693338	472739679.7100721	0.0	0	884192.7591031394
3	37.22362562311502	953727551.1005247	591964128.0348637	0.0	0	909545.4703335995
4	36.16374939845889	884575236.0118729	473254588.8364184	0.0	0	843596.6835135208
5	37.67769526662097	923582670.1230627	470866453.59707767	0.0	0	880797.0715742712
6	38.01124908069838	954705540.0551904	543442575.0057966	0.0	0	910478.1532813932
7	37.382820659973795	950710849.6888789	502995993.82591355	0.0	0	906668.519677047
8	37.922641492369706	949820198.578267	543153734.6086452	0.0	0	905819.1285879776
9	38.125104266380795	970440466.2891049	561865797.1520741	0.0	0	925484.1483012242
