epoch       	ep_ret      	ep_tx       	newbytes    	ep_delay   	ep_delay_normal   	ep_throu   
0	13.477421083745798	424376495.054628	466277896.0390855	0.0	0	404716.9638201027
1	8.898238185667038	411471387.11285615	449198382.51182985	0.0	0	392409.6938255847
2	10.738629259057035	444665450.25727654	451016353.4833654	0.0	0	424066.0193035857
3	12.483659420011406	469000286.74244046	498637881.4163979	0.0	0	447273.5278534324
4	13.074336723441895	422664267.31269974	373756517.7504047	0.0	0	403084.05619878764
5	12.765297323016348	436408040.19791543	488682093.27969956	0.0	0	416191.1394099382
6	9.394650952087382	418724033.49968016	420433177.37067634	0.0	0	399326.3564106752
7	14.164561349624677	427841183.69889796	421858691.86726654	0.0	0	408021.1483944872
8	12.264318110174962	434472625.44536585	445630701.2155994	0.0	0	414345.3840688379
9	10.276944969805829	419943577.5851806	421859292.22410023	0.0	0	400489.40428274206
10	12.360580768363917	420877758.99249643	516625796.3190238	0.0	0	401380.30909776344
11	13.15203292813261	464257467.8790901	454784926.223199	0.0	0	442750.4233160877
12	12.562077167746612	462122215.02750987	521445151.2569988	0.0	0	440714.08751250256
13	15.424455572003177	423527584.1534475	429352433.409093	0.0	0	403907.3792967297
14	20.016268631387245	431819887.008053	509202475.23459977	0.0	0	411815.53555302904
15	21.927106910734185	461009428.9957062	450454550.482618	0.0	0	439652.85205431556
16	16.580679926809793	398378995.7756569	498162031.59428775	0.0	0	379923.81646695785
17	20.35518954723191	419852402.14184946	511634158.02298635	0.0	0	400402.4526041504
18	18.29819023851714	458102543.0741117	460162634.20100355	0.0	0	436880.62961016805
19	20.868698812946683	451671295.8054341	493016543.9233401	0.0	0	430747.31426757254
20	21.917701387339537	448927223.25195754	431105341.4958908	0.0	0	428130.3627509665
21	22.08645114367524	489381636.35121745	486728220.1131036	0.0	0	466710.6975090192
22	20.789344202632734	423416480.93455875	502558931.85559225	0.0	0	403801.42301040527
23	17.49447760384096	470654667.0278383	522259308.4664391	0.0	0	448851.2678411848
24	22.297079022157124	489735201.4180061	483949247.7386495	0.0	0	467047.88343239407
25	22.117332177907443	463748487.5216955	522145139.02395	0.0	0	442265.02182168525
26	22.65048032442784	474374689.5421214	573973693.8740538	0.0	0	452398.95776950975
27	28.072450075954723	496634008.26663166	491505684.8922202	0.0	0	473627.098337776
